groupID,subjectID,Type,trialID,P,T_ms,W_ms,Label,Press,Correct,RT_ms,condition_label
1,1,empirical,480,0,30,300,stranger,1,0,234.275300004811,"P=0,T=30,W=300"
1,1,empirical,483,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,484,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,486,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,487,0,30,300,self,1,1,234.154700003273,"P=0,T=30,W=300"
1,1,empirical,491,0,30,300,self,1,1,234.525399995618,"P=0,T=30,W=300"
1,1,empirical,492,0,30,300,stranger,1,0,234.35199999949,"P=0,T=30,W=300"
1,1,empirical,495,0,30,300,stranger,1,0,246.654000002309,"P=0,T=30,W=300"
1,1,empirical,496,0,30,300,self,1,1,235.202000003483,"P=0,T=30,W=300"
1,1,empirical,499,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,500,0,30,300,self,1,1,234.427200004575,"P=0,T=30,W=300"
1,1,empirical,502,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,503,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,505,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,507,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,509,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,512,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,513,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,514,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,518,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,520,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,2,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,4,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,5,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,8,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,9,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,12,0,30,300,self,1,0,255.822599981911,"P=0,T=30,W=300"
1,10,empirical,14,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,16,0,30,300,stranger,1,0,232.765700027812,"P=0,T=30,W=300"
1,10,empirical,17,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,20,0,30,300,self,1,0,233.362399972975,"P=0,T=30,W=300"
1,10,empirical,23,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,24,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,25,0,30,300,stranger,1,1,272.067299985792,"P=0,T=30,W=300"
1,10,empirical,26,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,29,0,30,300,self,1,0,289.231600007042,"P=0,T=30,W=300"
