groupID,subjectID,Type,condition_label,mean_RT_self,mean_RT_stranger,sd_RT_self,sd_RT_stranger,mean_ACC_self,mean_ACC_stranger,sd_ACC_self,sd_ACC_stranger,n_self,n_stranger,cohen_d_RT,cohen_d_ACC
3,8,empirical,"P=120,T=30,W=600",369.375219779373,381.67441764415,124.001911276309,121.589341720186,0.323076923076923,0.238461538461538,0.469460924815308,0.427791265369335,130,130,0.100155069143344,0.188406968398433
3,8,simulated,"P=120,T=30,W=600",512.73076923077,527.707692307693,70.7024322752497,68.8014158581831,1,0.753846153846154,0,0.432435655679457,130,130,0.214697055368571,0.805007873631746
3,10,empirical,"P=120,T=30,W=600",351.344962652032,357.086972938851,123.242997850771,125.977861452364,0.315384615384615,0.223076923076923,0.466466436301249,0.417919999305988,130,130,0.046076918316692,0.208435883890009
3,12,empirical,"P=120,T=30,W=600",374.353189693023,371.243280412671,104.053181282059,105.981883744297,0.476923076923077,0.3,0.501399353675719,0.460030332670297,130,130,-0.0296119904509155,0.367701399485661
4,1,empirical,"P=120,T=80,W=600",486.525643749928,490.01396836669,124.234076430655,110.703000088862,0.553846153846154,0.561538461538462,0.499015130210389,0.498118104264505,130,130,0.0296466902673105,-0.0154288400259982
4,1,simulated,"P=120,T=80,W=600",515.992307692308,576.03076923077,82.8559501031852,70.6620890496529,1,0.853846153846154,0,0.35462696770748,130,130,0.779712412398521,0.582845553906814
4,2,empirical,"P=120,T=80,W=600",449.599381249884,463.83379444463,100.314206007534,99.3696455863817,0.684615384615385,0.323076923076923,0.466466436301249,0.469460924815308,130,130,0.14256790253623,0.772574082323103
4,2,simulated,"P=120,T=80,W=600",462.884615384616,517.023076923077,97.361361151125,102.107138244011,1,0.792307692307692,0,0.407224560379195,130,130,0.542673607816252,0.721275941867365
4,3,empirical,"P=120,T=80,W=600",522.96642381005,523.40981451679,101.484318223965,101.590824670959,0.776923076923077,0.2,0.417919999305988,0.401547394559495,130,130,0.00436676433598887,1.40776305858801
4,3,simulated,"P=120,T=80,W=600",480.415384615385,517.853846153846,97.9167329070179,86.1986269012801,1,0.846153846153846,0,0.362196966876518,130,130,0.405863631975635,0.600698893655683
4,4,simulated,"P=120,T=80,W=600",518.869230769231,556.115384615385,84.7876863647879,77.4533252413104,0.992307692307692,0.823076923076923,0.0877058019307029,0.383079820762893,130,130,0.45867753096894,0.608991141865144
4,5,empirical,"P=120,T=80,W=600",464.851003906006,506.468561111505,68.3457433084188,67.4224965798163,0.953846153846154,0.838461538461539,0.210629858728988,0.369450590497999,130,130,0.613053465639608,0.383701264761763
4,5,simulated,"P=120,T=80,W=600",485.792307692308,540.607692307693,94.1141230497526,84.8088133632976,0.992307692307692,0.761538461538462,0.0877058019307029,0.427791265369335,130,130,0.611899227380465,0.747343397153458
4,6,empirical,"P=120,T=80,W=600",592.635105882758,539.053862497894,103.582964847278,151.336834311195,0.253846153846154,0.0846153846153846,0.436894226667245,0.279385132880504,130,130,-0.413189909983173,0.461500936560836
4,6,simulated,"P=120,T=80,W=600",493.023076923077,506.553846153846,93.6827456240927,94.4827666939676,1,0.792307692307692,0,0.407224560379195,130,130,0.143816438718075,0.721275941867365
4,7,empirical,"P=120,T=80,W=600",510.51708636435,563.870040844744,77.9607874594841,82.8696400686633,0.823076923076923,0.376923076923077,0.383079820762893,0.486490112639389,130,130,0.663159592162269,1.01896832479887
4,7,simulated,"P=120,T=80,W=600",530.946153846154,568.553846153846,81.9229465481983,86.7520802903587,1,0.830769230769231,0,0.376406129386483,130,130,0.445736272980896,0.635825057915701
4,8,empirical,"P=120,T=80,W=600",552.601119768698,582.424094916521,77.7694907244261,61.1267171429767,0.623076923076923,0.307692307692308,0.486490112639389,0.463323916799418,130,130,0.426378315122495,0.663900171644572
4,8,simulated,"P=120,T=80,W=600",522.453846153846,554.046153846154,95.329385038188,79.9901991611261,0.992307692307692,0.853846153846154,0.0877058019307029,0.35462696770748,130,130,0.359025245292696,0.536019563609077
4,9,empirical,"P=120,T=80,W=600",432.868803295455,434.439528410043,130.291909573199,147.802430090931,0.507692307692308,0.453846153846154,0.501874839181977,0.499791250400946,130,130,0.0112740201255985,0.107512948501958
4,10,empirical,"P=120,T=80,W=600",574.88325402146,578.368886154539,65.3391546560079,73.1717117236037,0.646153846153846,0.430769230769231,0.480011925910284,0.497099518033222,130,130,0.0502498111393684,0.440792479158419
4,12,empirical,"P=120,T=80,W=600",553.981190411795,547.347804160381,121.74698330852,119.184731372041,0.523076923076923,0.207692307692308,0.501399353675718,0.407224560379195,130,130,-0.0550613370263867,0.690503837600558
4,14,empirical,"P=120,T=80,W=600",492.570078888889,475.043081818182,124.64159682207,117.77214236943,0.230769230769231,0.230769230769231,0.422954934437813,0.422954934437814,130,130,-0.144545965427159,0
5,1,empirical,"P=8,T=100,W=1100",574.042049166261,682.511428443698,140.633332200697,224.815044010586,0.838461538461539,0.607692307692308,0.369450590497999,0.490153493537679,130,130,0.578474404810547,0.531703624444301
5,1,simulated,"P=8,T=100,W=1100",863.576923076924,966.353846153847,179.955458114468,162.291815912646,1,0.784615384615385,0,0.412679190764644,130,130,0.59980208335359,0.738103231323707
5,2,empirical,"P=8,T=100,W=1100",869.989220180542,837.0402043863,187.460103057971,200.941656500425,0.523076923076923,0.507692307692308,0.501399353675719,0.501874839181977,130,130,-0.169562491919912,0.0306688117093908
5,2,simulated,"P=8,T=100,W=1100",814.838461538462,861.853846153847,203.480673666455,200.860941968189,0.992307692307692,0.792307692307692,0.0877058019307029,0.407224560379195,130,130,0.232547905206867,0.678992583048631
5,3,empirical,"P=8,T=100,W=1100",642.248340163703,747.113080829149,149.809869649616,159.371296342137,0.953846153846154,0.746153846153846,0.210629858728988,0.436894226667245,130,130,0.678014343363898,0.605589640365719
5,3,simulated,"P=8,T=100,W=1100",770.053846153847,863.738461538462,215.078255509116,196.865851852275,0.992307692307692,0.8,0.0877058019307029,0.401547394559495,130,130,0.454397524945945,0.661690498155534
5,4,empirical,"P=8,T=100,W=1100",740.265503606491,776.363186869827,166.670190878978,191.448363302938,0.730769230769231,0.476923076923077,0.445276006008111,0.501399353675718,130,130,0.201115456107009,0.535349801907706
5,4,simulated,"P=8,T=100,W=1100",755.476923076924,849.469230769231,203.981805518794,204.376616498798,0.992307692307692,0.807692307692308,0.0877058019307029,0.395638113677933,130,130,0.460341987307615,0.644269319663312
5,5,empirical,"P=8,T=100,W=1100",744.434069532872,801.909395037884,150.089593403514,162.371218527355,0.861538461538462,0.723076923076923,0.346719871152316,0.449209203785555,130,130,0.367604357495649,0.345075242631116
5,5,simulated,"P=8,T=100,W=1100",817.13076923077,921.138461538462,166.259878226621,176.266084706531,1,0.753846153846154,0,0.432435655679457,130,130,0.607039184958833,0.805007873631746
5,6,empirical,"P=8,T=100,W=1100",779.968124999437,811.102698465707,137.436642199014,124.084263471984,0.869230769230769,0.815384615384615,0.338452051691192,0.389486152934055,130,130,0.237794160689404,0.147579313309636
5,6,simulated,"P=8,T=100,W=1100",713.961538461539,815.146153846154,220.754393807262,221.963021975795,0.976923076923077,0.707692307692308,0.15072870106185,0.456582414784842,130,130,0.457105298838713,0.79187807865262
5,7,empirical,"P=8,T=100,W=1100",580.088817053205,706.637375804994,122.51290243397,162.747022942154,0.984615384615385,0.823076923076923,0.123553044479845,0.383079820762893,130,130,0.878555210781614,0.567561139994381
5,7,simulated,"P=8,T=100,W=1100",697.738461538462,810.353846153847,215.574967763646,197.820052186597,1,0.769230769230769,0,0.422954934437813,130,130,0.544330030144777,0.771611699875408
5,8,empirical,"P=8,T=100,W=1100",517.260986777034,640.083130766463,143.06274208909,155.317131684819,0.892307692307692,0.538461538461538,0.31119060801061,0.500447027357954,130,130,0.82256681519992,0.849151782040975
5,8,simulated,"P=8,T=100,W=1100",854.515384615385,925.215384615385,179.235163814262,149.32322698786,1,0.753846153846154,0,0.432435655679457,130,130,0.428592423076196,0.805007873631746
5,10,empirical,"P=8,T=100,W=1100",533.115677348178,563.813258270462,143.874580253057,156.7854493811,0.884615384615385,0.753846153846154,0.320721458628893,0.432435655679457,130,130,0.2040132634924,0.343498059260105
5,11,empirical,"P=8,T=100,W=1100",524.761930550017,537.322307273747,196.621080213989,215.800946684122,0.615384615384615,0.338461538461539,0.488386290505504,0.475016868796284,130,130,0.0608445494406928,0.574829786064769
5,12,empirical,"P=8,T=100,W=1100",682.957118004561,829.197218993213,152.604280422434,147.060429085411,0.761538461538462,0.553846153846154,0.427791265369335,0.499015130210389,130,130,0.975857863438009,0.446871590979616
6,1,empirical,"P=120,T=500,W=1500",859.491325806598,888.649758267859,145.458008353509,125.144452498168,0.946153846153846,0.938461538461539,0.226587028698114,0.241245031401497,130,130,0.214902860428838,0.0328687810692687
